symbol,data_days,start_date,end_date,avg_volume_usd,dev_mean_pct,dev_std_pct,corr_raw_next,corr_diff_next,corr_zscore_next,total_return,sharpe,win_rate,max_drawdown,extreme_down_count,extreme_down_reversal_pct,extreme_up_count,extreme_up_reversal_pct,return_2025,return_2026,return_2024,return_2023,return_2021,return_2022
VANA,446,2024-12-16,2026-03-06,11438479.1650561,-0.1281475091982495,0.31593429465696965,0.3283041791066188,-0.05113565275738885,0.007117099107487185,0.20450697951042185,0.15566132389673884,50.0,-1.018226451799244,11,36.36363636363637,7,42.857142857142854,0.6833431069739647,-0.5292901061353792,0.05045397867183632,,,
CTSI,1593,2021-10-26,2026-03-06,4786662.404277953,-0.04078039143221876,0.1453937492841652,0.009741089430416981,0.004631952305161072,0.010789430820768177,0.6733851543295537,0.14266232849457675,49.01836605446485,-1.9905621542688625,38,50.0,27,33.33333333333333,1.1927309317219943,-0.31698232891875755,-0.7726909786414712,-0.36108961753566626,-0.2443913682717832,1.175808515975238
GMX,1114,2023-02-17,2026-03-06,4771124.851671813,-0.04684041427965749,0.10939454134993673,-0.0354674593783222,0.04783917774322418,-0.004958070586885707,0.37991265137687613,0.13895040717286664,51.272727272727266,-2.027954189475848,19,57.89473684210527,22,50.0,1.8469800295725056,-0.3658378233557211,-1.2255335770154987,0.12430402217559022,,
0G,166,2025-09-22,2026-03-06,13100824.190516325,-0.5079202789402675,0.5733557887672953,0.0001830328562355256,-0.08439235042224313,0.02031435762152186,0.0844412748284491,0.13835751706451554,48.68421052631579,-0.9516664729149776,10,50.0,0,,0.2645059788513009,-0.1800647040228518,,,,
SUN,562,2024-08-22,2026-03-06,6597859.719705996,-0.06390862959732005,0.07692345150575858,-0.0013518378724165648,-0.003516957915171115,-0.0024166820493125396,0.18911704935303542,0.1347343359028739,47.08029197080292,-1.326815724156857,14,50.0,8,75.0,-0.8050831347169481,-0.03681015158155532,1.0310103356515385,,,
TRB,1892,2020-12-31,2026-03-06,13082853.719523493,-0.037773814181812575,0.2426524940391541,0.01916876043170485,0.054151499977183576,0.0057997076344954825,0.9694745574301059,0.12738646601576706,51.2779552715655,-2.5472328543019254,45,55.55555555555556,37,51.35135135135135,0.15234574041963145,0.1712648861835112,0.33260725182858564,-0.9466707884889405,1.1612497258596939,0.09867774162762166
BIGTIME,330,2025-04-11,2026-03-06,1699921.9507816972,-0.07201301480754049,0.06941024592237509,-0.03971618774417696,-0.05544230775633535,-0.020126072137458567,0.10001625794943492,0.12644628828063767,50.31645569620253,-1.4253691982701182,5,60.0,7,0.0,-0.5284202993524286,0.6284365573018635,,,,
XLM,1892,2020-12-31,2026-03-06,40649337.97139023,-0.022895648883632398,0.09652647855498037,0.027300305833576663,-0.03606775546835449,-0.011411679359655157,0.6208254084948813,0.12613236012860968,50.53248136315229,-1.2321928211486202,42,47.61904761904761,29,58.620689655172406,0.15179652985004144,-0.048256028608751333,0.534567319216599,-0.23128168240977676,-0.1541756664794608,0.36817493692623005
FIL,1892,2020-12-31,2026-03-06,73905827.88430713,-0.015486499695330766,0.08997108821692486,0.045582069263384546,0.03335812426173798,0.006019656610171219,0.7541513653561283,0.1254195498088237,50.74547390841321,-2.192542204346223,45,46.666666666666664,41,53.65853658536586,1.8546358237114453,0.04473172286094729,-0.9453137123453891,-0.0036237793649745997,-0.41892496810598046,0.2226462786000798
ONE,1815,2021-03-18,2026-03-06,20338903.015254136,-0.039917440985450595,0.1475103491782887,0.019135022772016484,0.00936283134944679,0.01177665270312467,0.6535038578703383,0.10928207520205536,48.63964464186563,-1.9833354022677256,41,41.46341463414634,33,36.36363636363637,0.18108964223297253,0.5787762937776691,-0.7283914003287536,0.18375537095528238,0.6150837840969267,-0.17680983286375918
HOT,1803,2021-03-30,2026-03-06,18796408.174473837,-0.03435583375721349,0.12207026598503964,0.010844886477861788,-0.00627240519863819,0.0065581071617355005,0.5449099676994719,0.10847844441714487,50.475125768585805,-2.2767212604281264,47,57.446808510638306,24,62.5,1.4584356637141669,0.41881312681897265,-0.022887096460709078,-0.36473209916410754,-0.39522336191173246,-0.5494962652971194
ASTR,1117,2023-02-14,2026-03-06,6078586.096953377,-0.04432366286863926,0.11422334044047645,0.02508533322202915,-0.014587397144843035,-0.0008634874795823838,0.28684109517254985,0.10826302511594217,51.4959202175884,-2.496934386410666,41,43.90243902439025,11,63.63636363636363,1.517998886919994,0.09133631205898707,-0.44081440516662984,-0.8816796986398001,,
PYTH,764,2024-02-02,2026-03-06,13255921.146754647,-0.04318919566555822,0.07551816190130359,0.03213399847728424,0.041952862677019476,0.02831824417535446,0.2765358665214811,0.10513194099314015,48.13333333333333,-2.2855882892007786,25,52.0,10,70.0,1.3443705212172323,-0.027344864252804024,-1.0404897904429466,,,
STG,1290,2022-08-25,2026-03-06,6342703.881533621,-0.04837523936469336,0.10519548323312505,0.01064062682664951,-0.014396029371416668,-0.00618989695441181,0.34272176038406077,0.10410779994142039,50.470219435736674,-2.6162168499851064,29,55.172413793103445,29,62.06896551724138,0.9949562965296697,0.09589550938741531,-1.721263142559679,0.960922767948917,,0.01221032907773656
CELR,1804,2021-03-29,2026-03-06,9975192.986240247,-0.023445019984359338,0.1352689506411803,0.0033257623339713934,-0.02476731501214206,-0.016151984277535735,0.6329101875627016,0.10365406846249034,48.60335195530726,-1.920155092582471,41,53.65853658536586,34,44.11764705882353,-0.1198327677612836,-0.5401157352904363,-0.3357971188579717,-0.26182636213166277,1.353871258463214,0.5366109131408415
NOT,660,2024-05-16,2026-03-06,46216027.66471569,-0.0454283933652831,0.08719879367323334,0.04723346968554203,-0.017607409435080237,-0.035468992541656155,0.20879816513559246,0.09254699987983968,50.92879256965944,-1.0205894776122193,9,55.55555555555556,14,71.42857142857143,0.33151156856208963,0.4449730823880176,-0.5676864858145145,,,
ALGO,1892,2020-12-31,2026-03-06,27070571.919241957,-0.02238107473365547,0.09983901397346412,0.03732616028508373,-0.0021273395754085353,-0.005323473633326346,0.4879196477606228,0.09054018469208407,50.319488817891376,-2.3984551935982763,49,44.89795918367347,32,31.25,0.7580979457814084,0.18923822245376298,-0.7121910982724681,-0.14188117280901846,-0.05562199058792605,0.45027774119486275
SKL,1892,2020-12-31,2026-03-06,7317722.715359957,-0.03005874328266987,0.14494503973240105,0.037487715555826306,-0.04975165530642226,-0.006859880656785174,0.6288015004849659,0.08918067939294991,50.319488817891376,-2.9668178640189473,49,51.02040816326531,28,64.28571428571429,1.7409304008252866,-0.017921344656736338,-0.9392214613790763,-0.223637038800634,0.30561245933581727,-0.23696151483969152
GUN,341,2025-03-31,2026-03-06,7208969.592627799,-0.1306237861794963,0.12025239762465166,-0.10261659466461907,-0.06480887261170303,-0.03782663894228697,0.10989323617547597,0.08305516948352969,51.07033639143731,-1.2571958298496566,9,33.33333333333333,7,71.42857142857143,0.4885499203707646,-0.37865668419528864,,,,
TNSR,698,2024-04-08,2026-03-06,9010786.046023238,-0.09980269159622474,0.47658457263892046,-0.42708712144723077,0.1346002394044815,-0.04115634213651691,0.3597921987825694,0.07940580772009499,47.22222222222222,-3.348695322880635,14,57.14285714285714,17,70.58823529411765,2.5658208997594856,0.18707839067557874,-2.393107091652494,,,
API3,1474,2022-02-22,2026-03-06,5373647.350141176,-0.0594819221308562,0.1578350166199405,0.036155862067393206,0.01988407802390319,0.011183576575014781,0.39696447564582804,0.07909303823731759,51.50684931506849,-2.7941779749398337,42,38.095238095238095,20,30.0,-0.701859598405379,-0.10412798286955294,-0.8945550171230296,0.9621072467084821,,1.135399827335306
CKB,1103,2023-02-28,2026-03-06,9466555.972280858,-0.0503729333755767,0.1156439204695848,0.0150374989217216,0.009969833009246497,-0.0028131581505101482,0.2807697489117327,0.07887554876809531,50.321395775941234,-2.887720093321026,26,50.0,21,61.904761904761905,0.6426076220117976,0.217987271768612,-1.5744251914195444,0.9946000465508672,,
SNX,1892,2020-12-31,2026-03-06,12408448.993997948,-0.042688142623980345,0.1275191414991488,0.005181481275355392,0.032565530598423695,0.015020929277495732,0.5121216850892844,0.07823385286335764,50.0,-2.592381623598618,45,44.44444444444444,46,54.347826086956516,0.8268180442953165,0.07996815134452495,1.5209951843383753,-0.5683575739974113,-0.5489587842631388,-0.7983433366283831
AXS,1892,2020-12-31,2026-03-06,39974330.68713224,-0.08091199631815504,0.20614077016181936,0.051842057726087035,-0.012249636932423718,0.01591617299050892,0.4193813869411255,0.0599957303109997,49.41427050053248,-4.135945785594233,51,52.94117647058824,26,50.0,1.1077745111040451,1.0045109662819343,-0.8490885209028869,-0.19662734203367171,-0.4459467355709231,-0.20124149193737018
ONT,1892,2020-12-31,2026-03-06,13521042.331144836,-0.04659305719558305,0.13469406132324838,0.041825089178974054,-0.019630985020943688,0.025176302315035443,0.31093343449562494,0.058157375954603574,50.106496272630466,-1.7824606543373347,60,55.00000000000001,37,51.35135135135135,0.15713074689670714,0.07121293662722905,-0.27833928345357195,0.19052984757685143,0.19666639256194862,-0.026267205713539687
ACE,810,2023-12-18,2026-03-06,9448633.950216813,-0.03491426298036206,0.14864968724495273,0.03820688914950476,0.06239118795174393,0.03554459002741292,0.14624458293727594,0.05765471743925396,51.75879396984925,-2.6424518983920704,21,47.61904761904761,12,50.0,-1.6640552668488717,-0.31598763377359673,2.1262874835597465,,,
TLM,1073,2023-03-30,2026-03-06,2851054.769190976,-0.03789354262212887,0.13889254735565745,0.014552191465677893,0.04929375895717458,0.029378527684427617,0.14931654641080339,0.053434842014457126,49.10292728989613,-1.5620010561416795,25,48.0,16,50.0,-0.4741693014072045,-0.004189443153243655,-0.285812545124039,0.9134878360952904,,
NXPC,296,2025-05-15,2026-03-06,7598809.474809088,-0.12457679335903947,0.07681167243037453,-0.01434080612559074,0.06259513174522989,0.021920507091506412,0.03916562876779561,0.051306226577996314,51.06382978723404,-0.8373983335926205,5,40.0,4,100.0,-0.07352809340965138,0.112693722177447,,,,
