symbol,data_days,avg_volume_usd,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_gross,dd_net,n_trades,turnover_pct,total_cost
A2Z,206,3377898.7311947225,0.5547582223490741,0.4444428495693838,0.3817450321896858,0.30614503218968625,51.45631067961165,50.970873786407765,-1.3532022830474117,-1.3836022830474108,95,46.116504854368934,0.0756
QNT,1220,4719427.038442051,0.6137376077043645,0.439888326944163,1.5993072855296078,1.1461072855296093,51.63934426229508,51.0655737704918,-1.1296394904112352,-1.2432394904112352,567,46.47540983606557,0.45320000000000005
1000CHEEMS,377,3815364.3698483733,0.5469933817198538,0.4341089237363472,0.630075895606344,0.5000758956063418,52.51989389920424,52.254641909814325,-1.1164114142688466,-1.1629772664170943,163,43.236074270557026,0.13
TRX,1878,99162689.31450391,0.5811181246204592,0.43284481804494135,2.4977605910485323,1.8597605910485693,51.597444089456864,50.85197018104366,-1.4064281740099203,-1.464028174009921,798,42.49201277955272,0.6380000000000001
IO,620,19389970.80125831,0.5354599207071236,0.42711391086898554,1.1562609251955667,0.9222609251955644,49.193548387096776,49.03225806451613,-0.9356221733418588,-0.9580221733418594,293,47.25806451612903,0.23399999999999999
KAIA,444,5945313.295826507,0.5443868512563584,0.42598625622086234,0.6752446804681795,0.5284446804681787,52.92792792792793,52.702702702702695,-0.7853531695008668,-0.8533531695008669,184,41.44144144144144,0.14680000000000004
PEOPLE,1520,23315610.03305978,0.5049680471998421,0.42271168859880315,3.1750791362864987,2.6578791362865095,50.19736842105264,49.80263157894737,-3.4098745583994328,-3.537074558399428,647,42.56578947368421,0.5172000000000001
WCT,312,10240500.8284731,0.4816226196403334,0.4038757094929376,0.55839068433639,0.4683906843363892,47.43589743589743,47.43589743589743,-1.112762738791646,-1.1639627387916462,113,36.217948717948715,0.09
POWR,848,4344737.107466009,0.5340923050543545,0.4007202618668447,1.241732101964182,0.931732101964174,50.589622641509436,50.35377358490566,-0.9041629749920765,-1.061759746053786,388,45.75471698113208,0.31000000000000005
RESOLV,255,7026691.581383531,0.4652415395268291,0.3959925322406246,0.5302994141297076,0.45149941412970707,53.333333333333336,53.333333333333336,-1.1256073291705222,-1.1328073291705223,99,38.82352941176471,0.0788
AI,775,11573840.823428174,0.4959527979876206,0.3938098303151366,1.2751838350636575,1.0123838350636551,51.2258064516129,50.967741935483865,-1.0642404134434456,-1.1290404134434464,329,42.45161290322581,0.26280000000000003
WLD,943,65591533.013664514,0.48859053118586465,0.39264848395144764,1.755286030883179,1.4108860308831759,50.90137857900318,50.68928950159067,-1.6010104326261099,-1.7282104326261112,431,45.705196182396605,0.34440000000000004
OXT,925,2169033.266282428,0.5383625377486987,0.38922260171050826,1.1846130633800205,0.8562130633800253,50.16216216216216,50.16216216216216,-2.20030304663809,-2.328303046638088,411,44.432432432432435,0.3284
DYDX,1625,26836810.293768845,0.48843910113747496,0.3726013298787536,2.4989992882277,1.9057992882277257,50.215384615384615,49.84615384615385,-1.4229983586749952,-1.5673089907611,742,45.661538461538456,0.5932000000000001
COTI,1809,11437538.604792254,0.4478200075241775,0.35488472162624735,2.8997592191409423,2.2977592191409606,49.8065229408513,49.47484798231067,-2.0443056162283417,-2.4099253594565115,753,41.625207296849084,0.6020000000000001
COMP,1878,10590073.215859545,0.46479258623619146,0.3521779693528169,2.573713016354546,1.9501130163545513,52.87539936102237,52.342917997870074,-1.2673046398005683,-1.3745161194637556,780,41.533546325878596,0.6236000000000002
TURBO,523,15078100.878791701,0.43726302505204956,0.35148728567590487,0.9525633243781422,0.7657633243781455,50.09560229445506,49.90439770554494,-1.0824152684495414,-1.12801526844954,234,44.74187380497132,0.18680000000000002
MET,100,14940632.710560178,0.46493005043129737,0.3478364105755429,0.1320322924956322,0.09883229249563234,52.0,52.0,-0.43327431778790004,-0.44367431778789995,42,42.0,0.03320000000000001
XMR,1133,20725116.862132832,0.48598591868392266,0.34273929893502836,1.3604445001871046,0.9592445001871219,52.42718446601942,51.63283318623124,-1.5674845950173344,-1.6250845950173312,502,44.3071491615181,0.4012
HOOK,1125,7388118.267594856,0.4579293321249728,0.33609290937970504,1.5236128246941942,1.1184128246941931,50.044444444444444,49.68888888888889,-1.085361862031164,-1.2378108333589448,507,45.06666666666666,0.4052
BAND,1878,6457205.538548066,0.4220772600979193,0.3234139467280166,2.705398495820583,2.072998495820593,50.74547390841321,50.21299254526092,-2.6963191294944076,-2.8947191294944075,791,42.119275825346115,0.6324000000000001
